Dataset ID,Time Between,Outlier?
aahjddgag,95.13391204,No
aahjdacda,77.1237037,No
aahjcfbae,0.989930556,No
aahjchfgi,95.56875,No
aahjdddjh,0.847199074,No
aagdbadce,12.69716435,No
aagdadfjc,115.2135417,Yes
aagcjaidf,105.800544,Yes
aagcjaieh,109.663044,Yes
aagdaejde,178.9189468,Yes
aagdbcfhg,90.56210648,No
aagcjcagg,4.65556713,No
aagcjccii,1.912303241,No
aagcjbefe,52.62293981,No
aagdbajai,8.795949074,No
aagcjbiic,32.95109954,No
aagdbbaac,8.857569444,No
aagcijgge,351.0582986,Yes
aagcjdcch,92.36200231,No
aagcjbbci,3.112939815,No
aagcjbbde,3.112939815,No
aagcjdddi,118.3161458,Yes
aaadhiabc,45.06833333,No
aaaagahff,144.9894676,Yes
aaieijach,-167.1267245,Yes
aaeabgfjh,7.088912037,No
aabgdcjih,0.881354167,No
aabgdbibg,6.1565625,No
aabgcigei,1.316956019,No
aabgddbib,20.24678241,No
aabgdcgbb,7.006863426,No
aabgdahgd,4.92412037,No
aaahiccge,0.012083333,No
aadceahfc,183.8256829,Yes
aadceahgf,14.82277778,No
aadceahbc,0.025046296,No
aadceahai,40.09039352,No
aaadjgebe,28.85938657,No
aaadjhecc,0.129525463,No
aahfddchc,48.99354167,No
aabbbfced,13.22335648,No
aabbbhfba,37.17297454,No
aabiaeiad,84.94976852,No
aabjjacca,0.266284722,No
aaaefjbcf,45.82059028,No
aaaefaeff,15.20787037,No
aaaefjhjg,24.28688657,No
aahciagah,1.242523148,No
aaaeiacda,0.015428241,No
aacahccei,0.967222222,No
aaccciejf,11.17690972,No
aaccdaajg,32.85702546,No
aaccchgjf,0.102465278,No
aabchggdd,2.750752315,No
aabchhiid,178.3277315,Yes
aabhbbjjb,0.004236111,No
aaaeaffjf,1.421851852,No
aaaebiahj,3.239224537,No
aaaeagibf,3.066076389,No
aaaeaghea,2.812037037,No
aaaeajdhe,0.808148148,No
aaaebciid,2.938518519,No
aaaebhjcd,0.02412037,No
aaaebidfb,72.01111111,No
aahdhgjce,244.9284606,Yes
aahdhccie,1.067592593,No
aahdhjcge,4.185590278,No
aahdhiccb,91.72584491,No
aahdhcdei,37.81700231,No
aahdhejig,4.201435185,No
aahdigihf,2.069710648,No
aahdibdgf,24.13056713,No
aacgdffgg,0.001064815,No
aacgdfcce,3.47E-05,No
aaghichej,34.17064815,No
aacggjabc,0.718275463,No
aabafbggi,1.962291667,No
aabhijbec,0.427256944,No
aaeadfdei,0.120486111,No
aabgebhic,0.998506944,No
aahgagadg,554.1932755,Yes
aahfjifef,0.493101852,No
aahfgjhjb,43.90774306,No
aahfhbedi,46.00111111,No
aahfhifec,36.00032407,No
aahgajjgc,6.196898148,No
aahfhidbe,2.960891204,No
aahfjfigg,0.038298611,No
aahfgiece,5.70724537,No
aahfjiggd,1234.80934,Yes
aahfjijdc,1230.758275,Yes
aahfihdhb,7.046331019,No
